"id","idDapil","nama","namaPartai","noUrut","originalFilename","stringJenisKelamin"
123620,10,"YOPI MUTHALIB","PARTAI DEMOKRASI INDONESIA PERJUANGAN",7,"Yopi Muthalib.jpg","Laki-Laki"
51476,10,"LILI PIORITA, S.Pd","PARTAI DEMOKRASI INDONESIA PERJUANGAN",8,"LILI.jpg","Perempuan"
179143,10,"H. HASAN BASRI AGUS","Partai Golongan Karya",1,"IMG_8215.JPG","Laki-Laki"
161167,10,"HJ. SANIATUL LATIVA, S.E., M.M.","Partai Golongan Karya",2,"SANIATUL LATIVA_1509010172180001_PASFOTO 4X6.jpg","Perempuan"
176201,10,"SUFARDI NURZAIN, M.Si","Partai Golongan Karya",3,"4 X 6.jpg","Laki-Laki"
179600,10,"SELINA GITA, S.E.","Partai Golongan Karya",4,"SelinaGita_3174050260230003_PASFOTO4X6.jpeg","Perempuan"
178457,10,"KHABRI MOEIS, M.E","Partai Golongan Karya",5,"KHABRI MOEIS_1571010173350016_PASFOTO 4X6.jpg","Laki-Laki"
263275,10,"LUKMANUROHIM","Partai Golongan Karya",6,"6. LUKMAN NUROHIM.jpg","Laki-Laki"
177873,10,"FITRI YANTI, S.E","Partai Golongan Karya",7,"FITRIYANTI_3175050261010034_PAS POTO 4X6.jpg","Perempuan"
250742,10,"HARRY WALUYO SAJATI","Partai Golongan Karya",8,"foto jas kuning.jpg","Laki-Laki"
13601,10,"AGUS SUYANDI RONI, S.H., M.H.","Partai NasDem",1,"Scan.jpg","Laki-Laki"
8878,10,"HAMDI, S.Sos., M.M.","Partai NasDem",2,"hamdi.jpg","Laki-Laki"
99270,10,"SHASTI SARAH THALIA","Partai NasDem",3,"Shasti2.jpg","Perempuan"
8920,10,"H. SUDIRMAN ZAINI, S.H., M.H.","Partai NasDem",4,"FOTO.jpg","Laki-Laki"
13623,10,"HASBI ANSHORY, S.E., M.M.","Partai NasDem",5,"HASBY DAPIL JAMBI.JPG","Laki-Laki"
8980,10,"Ir. ADELAIDA","Partai NasDem",6,"adelaida.jpg","Perempuan"
297867,10,"Ir. ALBERT SIMANGUNSONG, MSI","Partai NasDem",7,"Albert_Simangunsong Jambi.jpg","Laki-Laki"
73788,10,"NYIMAS HABIBIE","Partai NasDem",8,"nyimas.jpg","Perempuan"
206734,10,"BAYU BUDIARTO, S.Sos","Partai Gerakan Perubahan Indonesia",1,"1881_280418_064850.png","Laki-Laki"
295382,10,"SITI KHAIRAH HARAHAP, Am.Keb","Partai Gerakan Perubahan Indonesia",2,"7561_110718_112406 siti.png","Perempuan"
197640,10,"Dr. Ir. Hj. HARIATIA, ME, M.Si.","PARTAI BERKARYA",1,"Hariata.JPG","Perempuan"
54011,10,"SABRISAL","PARTAI BERKARYA",2,"FOTO SABRISAL.JPG","Laki-Laki"
302444,10,"BAMBANG HARYANTO, S.Sos.","PARTAI BERKARYA",3,"Capture.JPG","Laki-Laki"
155942,10,"H. ABBAS ABUBAKAR, SH","PARTAI BERKARYA",4,"FOTO.JPG","Laki-Laki"
139145,10,"Dr. FIRDAUS NUR, SE, MM","PARTAI BERKARYA",5,"FOTO.JPG","Laki-Laki"
