id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
285157	100	SYUAIBAH SARAGIH	Partai Bulan Bintang	3	SYUAIBAH.jpg	Perempuan
285317	100	HERLINAWATI SARAGIH	Partai Bulan Bintang	4	HERLINAWATI SARAGIH.jpg	Perempuan
id	idDapil	nama	namaPartai	noUrut	originalFilename	stringJenisKelamin
59608	100	SARIJON BAKO, SP	Partai Keadilan dan Persatuan Indonesia	1	WhatsApp Image 2018-07-16 at 16.35.50.jpeg	Laki-Laki
188232	100	JIMMI FERNANDO SILALAHI	Partai Keadilan dan Persatuan Indonesia	2	WhatsApp Image 2018-07-15 at 18.58.49.jpeg	Laki-Laki
299817	100	MARITA SIBATUARA	Partai Keadilan dan Persatuan Indonesia	3	WhatsApp Image 2018-07-31 at 20.09.09.jpeg	Perempuan
150856	100	BILLER SIANTURI	Partai Keadilan dan Persatuan Indonesia	4	WhatsApp Image 2018-07-15 at 17.21.37.jpeg	Laki-Laki
229631	100	NURBAYA SIMAMORA	Partai Keadilan dan Persatuan Indonesia	5	WhatsApp Image 2018-07-17 at 16.05.37.jpeg	Perempuan
176861	100	ANTON SIAHAAN, SE	Partai Keadilan dan Persatuan Indonesia	6	WhatsApp Image 2018-07-15 at 18.57.26.anton siahaan.jpeg	Laki-Laki
229988	100	SARMAULI SIMAMORA	Partai Keadilan dan Persatuan Indonesia	7	WhatsApp Image 2018-07-17 at 16.29.43.jpeg	Perempuan
181897	100	DENNI HARDI SARAGIH, S. Hut	Partai Keadilan dan Persatuan Indonesia	8	WhatsApp Image 2018-07-17 at 02.13.25.jpeg	Laki-Laki
236147	101	NGASUP KARO KARO SITEPU	Partai Kebangkitan Bangsa	1	4 X 6 WARNA.JPG	Laki-Laki
265555	101	NURAISAH RITONGA	Partai Kebangkitan Bangsa	2	4 X 6 WARNA.JPG	Perempuan
300326	101	DONA RIZAKA	Partai Kebangkitan Bangsa	3	4 x 6 donari jaka.JPG	Laki-Laki
300339	101	HARMONI TUMANGGOR	Partai Kebangkitan Bangsa	4	4 X 6 WARNA.JPG	Perempuan
300356	101	RAPIAH GULTOM	Partai Kebangkitan Bangsa	5	r.jpg	Perempuan
211984	101	INGAN AMIN BARUS, S.Sos	PARTAI GERAKAN INDONESIA RAYA	1	Pak Amin.jpg	Laki-Laki
